Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Last 6 Over 2.5,Last 6 Over 1.5,Last 6 CS,Last 6 BTTS,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Las Palmas,6,2,2,2,10,1.67,4/6,6/6,1/6,5/6,25,29,1.16,10,8,7,40.0,60.0,32.00,52.00
Albacete,6,3,2,1,7,1.17,2/6,3/6,3/6,3/6,29,42,1.45,13,7,9,51.7,69.0,44.83,51.72
Zaragoza,6,1,3,2,7,1.17,3/6,5/6,1/6,5/6,26,26,1.00,7,7,12,42.3,65.4,15.38,57.69
Burgos CF,6,2,1,3,3,0.50,1/6,4/6,2/6,1/6,27,32,1.19,13,5,9,40.7,63.0,29.63,44.44
Leganes,6,3,1,2,9,1.50,2/6,5/6,2/6,2/6,26,32,1.23,9,8,9,46.2,73.1,30.77,50.00
Cordoba,6,4,1,1,8,1.33,3/6,4/6,2/6,3/6,24,29,1.21,9,8,7,50.0,70.8,29.17,62.50
Valladolid,6,1,1,4,4,0.67,3/6,4/6,1/6,1/6,24,24,1.00,7,7,10,33.3,58.3,25.00,37.50
AD Ceuta,6,2,1,3,7,1.17,4/6,5/6,2/6,4/6,39,47,1.21,13,10,16,46.2,71.8,28.21,56.41
Almeria,6,1,1,4,8,1.33,5/6,5/6,0/6,5/6,28,49,1.75,13,6,9,64.3,78.6,28.57,64.29
Eibar,6,3,1,2,6,1.00,2/6,2/6,3/6,1/6,26,31,1.19,9,7,10,50.0,65.4,34.62,46.15
Sporting Gijon,6,3,0,3,11,1.83,4/6,5/6,2/6,3/6,27,38,1.41,14,3,10,44.4,66.7,40.74,48.15
Castellon,6,3,2,1,9,1.50,2/6,4/6,3/6,2/6,25,42,1.68,12,6,7,48.0,60.0,32.00,48.00
FC Andorra,6,3,2,1,7,1.17,2/6,4/6,2/6,4/6,27,34,1.26,9,8,10,51.9,77.8,18.52,66.67
Huesca,6,0,2,4,6,1.00,3/6,5/6,0/6,5/6,26,28,1.08,8,6,12,42.3,73.1,26.92,50.00
Cadiz,6,3,1,2,10,1.67,4/6,5/6,1/6,4/6,26,35,1.35,11,7,8,53.8,61.5,34.62,53.85
Granada,6,1,3,2,6,1.00,3/6,4/6,2/6,4/6,27,32,1.19,7,11,9,48.1,66.7,29.63,55.56
Racing Santander,6,2,2,2,9,1.50,2/6,5/6,1/6,4/6,27,58,2.15,16,5,6,74.1,92.6,22.22,74.07
Mirandes,6,0,1,5,6,1.00,6/6,6/6,0/6,5/6,25,24,0.96,4,6,15,52.0,76.0,12.00,60.00
Malaga,6,6,0,0,14,2.33,5/6,5/6,2/6,4/6,26,40,1.54,12,6,8,57.7,76.9,19.23,61.54
Leonesa,6,0,2,4,8,1.33,4/6,6/6,0/6,5/6,27,36,1.33,10,4,13,51.9,63.0,22.22,48.15
RC Deportivo,6,1,2,3,5,0.83,2/6,3/6,0/6,3/6,28,47,1.68,14,7,7,53.6,78.6,28.57,53.57
